,type,entry_time,exit_time,entry_price_bnf,exit_price_bnf,entry_price_nft,exit_price_nft,pnl
168,short_bnf-short_nifty,2019-10-31 13:15:00,2019-10-31 15:15:00,11889.15,11881.85,30084.8,30034.85,-1613.7499999999818
169,long_bnf-long_nifty,2019-11-01 09:15:00,2019-11-01 11:15:00,11877.15,11868.8,30236.85,30242.0,-288.7499999999818
170,short_bnf-short_nifty,2019-11-01 13:15:00,2019-11-05 13:15:00,11888.1,11919.8,30320.8,30225.15,-806.25
171,long_bnf-long_nifty,2019-11-05 15:15:00,2019-11-06 13:15:00,11918.05,11965.4,30208.25,30594.9,12033.750000000055
172,short_bnf-short_nifty,2019-11-06 15:15:00,2019-11-22 15:15:00,11960.25,11916.1,30584.8,31130.1,11425.0
173,long_bnf-long_nifty,2019-11-25 09:15:00,2019-11-26 11:15:00,11993.15,12099.2,31276.65,31736.05,16787.5
174,short_bnf-short_nifty,2019-11-26 13:15:00,2019-12-03 11:15:00,12032.9,11965.7,31701.45,31524.9,-7773.749999999927
175,long_bnf-long_nifty,2019-12-03 13:15:00,2019-12-04 11:15:00,11995.05,11944.75,31625.85,31607.8,-2966.2499999999454
176,short_bnf-short_nifty,2019-12-04 13:15:00,2019-12-05 13:15:00,12044.55,12030.75,31975.4,31800.4,-5064.999999999964
177,long_bnf-long_nifty,2019-12-05 15:15:00,2019-12-12 11:15:00,12007.8,11963.4,31677.0,31528.2,-5939.999999999964
178,short_bnf-short_nifty,2019-12-12 13:15:00,2019-12-18 09:15:00,11973.35,12181.2,31643.2,32073.45,21148.75000000002
179,long_bnf-long_nifty,2019-12-18 11:15:00,2019-12-23 11:15:00,12212.95,12256.7,32184.65,32347.85,6267.499999999927
180,long_bnf-long_nifty,2019-12-23 15:15:00,2019-12-24 11:15:00,12266.35,12246.8,32336.3,32324.05,-1283.7500000000546
181,short_bnf-short_nifty,2019-12-24 13:15:00,2019-12-26 13:15:00,12211.35,12130.45,32272.8,32022.7,-10297.499999999945
182,short_bnf-short_nifty,2019-12-26 15:15:00,2019-12-30 15:15:00,12130.35,12258.75,32020.6,32372.1,15207.499999999982
183,long_bnf-long_nifty,2019-12-31 09:15:00,2019-12-31 15:15:00,12204.95,12177.8,32172.0,32180.5,-1145.0000000000728
184,long_bnf-long_nifty,2020-01-01 11:15:00,2020-01-02 15:15:00,12175.25,12282.35,32095.9,32432.65,13773.750000000018
185,long_bnf-long_nifty,2020-01-03 11:15:00,2020-01-09 11:15:00,12237.0,12207.1,32102.45,32096.55,-1642.5000000000182
